Category,Subcategory1,Subcategory2,Subcategory3
MRO/OEM,REPAIR AND MAINTENANCE SERVICES,HOUSEHOLD ITEMS,
MRO/OEM,REPAIR AND MAINTENANCE SERVICES,SHOES/LEATHER,
MRO/OEM,SPECIALTY MRO/OEM,ABRASIVES,
MRO/OEM,SPECIALTY MRO/OEM,CUTTING TOOLS,
MRO/OEM,SPECIALTY MRO/OEM,FASTENERS,
MRO/OEM,SPECIALTY MRO/OEM,WELDING,
OUTSOURCE,CONTRACT FILLING COFILL,FOOD/BEVERAGE,BEER/SELTZER
OUTSOURCE,CONTRACT FILLING COFILL,FOOD/BEVERAGE,FOOD
OUTSOURCE,CONTRACT FILLING COFILL,FOOD/BEVERAGE,SPIRITS
OUTSOURCE,CONTRACT FILLING COFILL,FOOD/BEVERAGE,WINE
OUTSOURCE,CONTRACT FILLING COFILL,HOUSEHOLD,
OUTSOURCE,CONTRACT FILLING COFILL,INDUSTRIAL/AUTOMOTIVE,
OUTSOURCE,CONTRACT FILLING COFILL,PERSONAL CARE,
OUTSOURCE,CONTRACT MANUFACTURING COMAN,FINISHED GOODS,
OUTSOURCE,CONTRACT PACKAGING COPACK,KITTING/ASSEMBLY,
OUTSOURCE,OUTSIDE PROCESSES,METAL FINISHING,ENGRAVING
OUTSOURCE,OUTSIDE PROCESSES,METAL FINISHING,HEAT TREATING
OUTSOURCE,OUTSIDE PROCESSES,METAL FINISHING,PLATING
PACKAGING,FIBER/WOOD PACKAGING,CHIPBOARD/FOLDING CARTONS,
PACKAGING,FIBER/WOOD PACKAGING,CORRUGATED CARTONS,
PACKAGING,FIBER/WOOD PACKAGING,OTHER PAPER PRODUCTS,
PACKAGING,FIBER/WOOD PACKAGING,PALLETS/CRATING,
PACKAGING,FIBER/WOOD PACKAGING,PAPER BAGS,
PACKAGING,FIBER/WOOD PACKAGING,POP/DISPLAYS,
PACKAGING,FIBER/WOOD PACKAGING,TUBES/CORES,
PACKAGING,FLEXIBLE PACKAGING,LABELS,
PACKAGING,FLEXIBLE PACKAGING,POLY/LUMBER COVERS,
PACKAGING,FLEXIBLE PACKAGING,POUCHES/POLY BAGS/SACHETS,
PACKAGING,FLEXIBLE PACKAGING,ROLLSTOCK/FILM,
PACKAGING,FLEXIBLE PACKAGING,SQUEEZE TUBES,
PACKAGING,RIGID PACKAGING,BOTTLES & JARS,ALUMINUM BOTTLES
PACKAGING,RIGID PACKAGING,BOTTLES & JARS,GLASS BOTTLES & JARS
PACKAGING,RIGID PACKAGING,BOTTLES & JARS,PLASTIC BOTTLES & JARS
PACKAGING,RIGID PACKAGING,CANS,AEROSOL ACCESSORIES VALVES ACTUATORS
PACKAGING,RIGID PACKAGING,CANS,AEROSOLS ALUMINUM
PACKAGING,RIGID PACKAGING,CANS,AEROSOLS STEEL/TINPLATE
PACKAGING,RIGID PACKAGING,CANS,CAN LIDS & COVERS
PACKAGING,RIGID PACKAGING,CANS,GENERAL LINE/TINPLATE CONTAINERS
PACKAGING,RIGID PACKAGING,CANS,PLASTIC CANS
PACKAGING,RIGID PACKAGING,CAPS PUMPS & SPRAYERS/TRIGGERS,CAPS & CLOSURES
PACKAGING,RIGID PACKAGING,CAPS PUMPS & SPRAYERS/TRIGGERS,DISPENSING PUMPS
PACKAGING,RIGID PACKAGING,CAPS PUMPS & SPRAYERS/TRIGGERS,SPRAYERS/TRIGGERS
PACKAGING,RIGID PACKAGING,DRUMS/IBC TOTES,DRUM AND TOTE ACCESSORIES
PACKAGING,RIGID PACKAGING,DRUMS/IBC TOTES,FIBER DRUMS
PACKAGING,RIGID PACKAGING,DRUMS/IBC TOTES,IBC TOTES
PACKAGING,RIGID PACKAGING,DRUMS/IBC TOTES,METAL DRUMS
PACKAGING,RIGID PACKAGING,DRUMS/IBC TOTES,PLASTIC DRUMS
PACKAGING,RIGID PACKAGING,PAILS/TUBS,PLASTIC PAILS
PACKAGING,RIGID PACKAGING,PAILS/TUBS,STEEL PAILS
PACKAGING,SHIPPING SUPPLIES,ADHESIVES AND TAPES,ADHESIVES & TAPES
PACKAGING,SHIPPING SUPPLIES,ENVELOPES/MAILERS,
PACKAGING,SHIPPING SUPPLIES,PROTECTIVE PRODUCTS/DUNNAGE,
PACKAGING,SHIPPING SUPPLIES,SHRINK WRAP AND EQUIPMENT,SHRINK WRAP & EQUIPMENT
PACKAGING,SHIPPING SUPPLIES,STRAPPING/EDGE PROTECTION,
PACKAGING,SHIPPING SUPPLIES,STRETCH WRAP & EQUIPMENT,
PLANT PROPERTY EQUIPMENT,APPLIANCE AND ELECTRICAL EQUIPMENT,COMMERCIAL LIGHTING,
PLANT PROPERTY EQUIPMENT,BOILER/HEAT EXCHANGER,,
PLANT PROPERTY EQUIPMENT,CONSTRUCTION,,
PLANT PROPERTY EQUIPMENT,ELECTRICAL EQUIPMENT,MOTORS AND GENERATORS,
PLANT PROPERTY EQUIPMENT,ELECTRICAL EQUIPMENT,POWER DISTRIBUTION AND TRANSFORMERS,
PLANT PROPERTY EQUIPMENT,ELECTRICAL EQUIPMENT,RELAYS,
PLANT PROPERTY EQUIPMENT,ELECTRICAL EQUIPMENT,SWITCHGEAR,
PLANT PROPERTY EQUIPMENT,ELECTRONICS PRODUCTION EQUIPMENT,WAFER PROCESSING EQUIPMENT,ETCHING SYSTEMS
PLANT PROPERTY EQUIPMENT,ELEVATOR/ESCALATOR,,
PLANT PROPERTY EQUIPMENT,FARM/CONSTRUCTION/MINING EQUIPMENT,CONSTRUCTION EQUIPMENT,
PLANT PROPERTY EQUIPMENT,FARM/CONSTRUCTION/MINING EQUIPMENT,FARM EQUIPMENT,
PLANT PROPERTY EQUIPMENT,FARM/CONSTRUCTION/MINING EQUIPMENT,LAWN AND GARDEN EQUIPMENT,
PLANT PROPERTY EQUIPMENT,FARM/CONSTRUCTION/MINING EQUIPMENT,MINING/OIL & GAS EQUIPMENT,
PLANT PROPERTY EQUIPMENT,FURNACE,,
PLANT PROPERTY EQUIPMENT,HVAC EQUIPMENT,AIR CONDITIONERS,
PLANT PROPERTY EQUIPMENT,HVAC EQUIPMENT,FANS/BLOWERS,
PLANT PROPERTY EQUIPMENT,HVAC EQUIPMENT,HEATERS,
PLANT PROPERTY EQUIPMENT,HYDRAULIC EQUIPMENT,,
